"Savings";389999;13699;2,51;4,37;1,862034704
"Savings";12362;84645;1,55;2,14;1,062657905
"Repayment";128339;83607;2,36;3,98;1,332206923
"Savings";410200;82642;2,88;5,6;1,383836003
"Savings";4416;79124;1,46;1,85;0,401224278
"Savings";80283;14448;1,77;2,65;1,303424002
"Repayment";280715;13026;2,08;3,44;0,798142582
"Repayment";346090;79244;2,37;4,07;0,944295861
"Repayment";187311;78920;1,77;2,64;1,335100926
"Investment";30288;83442;1,62;2,3;1,348654249
"Repayment";30292;6901;1,62;2,3;1,548447444
"Repayment";280731;13026;2,08;3,44;0,522791476
"Investment";269476;8563;3,26;6,46;1,422435085
"Repayment";536088;2456;2,81;5,29;0,118887246
"Repayment";187320;83726;1,77;2,64;0,673991888
"Savings";389405;9128;2,81;5,27;0,741891905
"Repayment";245116;11255;2,32;3,93;0,814390456
"Savings";16003;14184;1,49;2,03;1,061408293
"Savings";348127;113;2,41;4,03;0,543809191
"Repayment";12411;9836;1,56;2,14;1,677702097
"Savings";410216;13317;2,88;5,6;0,584689141
"Repayment";52403;85723;1,66;2,37;0,998576319
"Repayment";200794;13008;2,47;4,24;1,643953234
"Savings";153470;76973;2,17;3,54;1,003368771
"Savings";282339;77014;2,08;3,42;1,380820935
"Savings";30373;842;1,62;2,31;0,987460692
"Repayment";153639;14694;2,17;3,54;1,383812199
"Savings";12436;6901;1,56;2,14;1,05501731
"Repayment";268711;79649;2,57;4,75;1,167259141
"Repayment";245341;82384;2,57;4,64;0,853469139
"Repayment";33714;1775;1,99;3,01;0,142477227
"Savings";187329;78920;1,77;2,64;1,393797634
"Investment";200938;75019;2,47;4,24;0,977213977
"Investment";390003;13641;2,51;4,37;1,150318087
"Repayment";536209;81224;2,81;5,29;1,038119941
"Repayment";389469;10845;2,81;5,27;0,433811496
"Repayment";223525;14629;1,96;3,04;0,934480627
"Savings";280767;13026;2,08;3,44;1,207662895
"Savings";73107;77014;1,63;2,28;1,059322059
"Savings";20979;85131;1,46;1,95;0,574820618
"Investment";360261;76973;3;5,85;1,580559033
"Savings";282508;2496;2,08;3,42;1,300753733
"Investment";240800;627;3,08;5,88;1,031075992
